epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,132.965,0.52079,5.5968,0.55002,0.95467,0.75077,0.48333,0.54159,0.26603,0,0,0,0,1.70918,5.19542,1.94896,1.42014,1.16739e-05,1.16739e-05,1.16739e-05
92,134.393,0.72632,6.71394,0.8245,1.03441,0.59197,0.5,0.51189,0.27921,0,0,0,0,1.77288,5.21087,1.91879,1.49872,1.07315e-05,1.07315e-05,1.07315e-05
93,135.904,0.45722,5.65121,0.56352,0.99654,0.59197,0.5,0.51189,0.27921,0,0,0,0,1.77288,5.21087,1.91879,1.49872,9.76562e-06,9.76562e-06,9.76562e-06
94,137.245,0.47782,5.67204,0.56422,0.91756,0.59197,0.5,0.51189,0.27921,0,0,0,0,1.77288,5.21087,1.91879,1.49872,8.77613e-06,8.77613e-06,8.77613e-06
95,138.589,0.506,5.30076,0.52975,0.96404,0.59197,0.5,0.51189,0.27921,0,0,0,0,1.77288,5.21087,1.91879,1.49872,7.76308e-06,7.76308e-06,7.76308e-06
96,139.973,0.52337,5.52227,0.67487,1.0271,0.58386,0.5,0.52487,0.30469,0,0,0,0,1.85818,5.22316,1.89049,1.61105,6.72648e-06,6.72648e-06,6.72648e-06
97,141.302,0.60977,5.87587,0.80498,0.99878,0.58386,0.5,0.52487,0.30469,0,0,0,0,1.85818,5.22316,1.89049,1.61105,5.6663e-06,5.6663e-06,5.6663e-06
98,142.638,0.60988,5.57667,0.59127,0.96295,0.58386,0.5,0.52487,0.30469,0,0,0,0,1.85818,5.22316,1.89049,1.61105,4.58257e-06,4.58257e-06,4.58257e-06
99,143.967,0.56001,5.4341,0.53432,0.97065,0.58386,0.5,0.52487,0.30469,0,0,0,0,1.85818,5.22316,1.89049,1.61105,3.47528e-06,3.47528e-06,3.47528e-06
100,145.437,0.52627,5.38888,0.63461,0.99407,0.58081,0.5,0.55736,0.34529,0,0,0,0,1.6895,5.2415,1.8235,1.39767,2.34442e-06,2.34442e-06,2.34442e-06
